property_name,start_date,end_date,summary,source
18-12 Norte,2018-11-09,2018-11-16,P2FEU4,YourRentals
18-12 Norte,2018-12-26,2019-01-01,KS6NMY,YourRentals
18-12 Norte,2024-01-26,2024-01-28,ODQQCE,YourRentals
18-12 Norte,2019-01-01,2019-07-16,JOPTXK,YourRentals
18-12 Norte,2023-04-03,2023-04-07,TN1UBP,YourRentals
18-12 Norte,2023-11-23,2023-12-16,TPFK1R,YourRentals
18-12 Norte,2019-08-01,2019-12-15,CKKVQ1,YourRentals
18-12 Norte,2023-02-04,2023-02-05,GQY0LT,YourRentals
18-12 Norte,2023-01-30,2023-02-01,IHXYQR,YourRentals
18-12 Norte,2023-02-05,2023-02-06,J7Z7KU,YourRentals
18-12 Norte,2023-04-02,2023-04-03,809SZH,YourRentals
18-12 Norte,2018-10-22,2018-10-31,KJFXCO,YourRentals
18-12 Norte,2023-01-29,2023-01-30,N4DXPM,YourRentals
18-12 Norte,2023-02-07,2023-02-13,H7XTBT,YourRentals
18-12 Norte,2023-02-06,2023-02-07,KRVZRS,YourRentals
18-12 Norte,2024-12-31,2025-01-03,DT3EMK,YourRentals
29-01 sur,2023-04-03,2023-04-06,Z51DSH,YourRentals
29-01 sur,2023-04-02,2023-04-03,TW67SO,YourRentals
29-01 sur,2024-07-05,2024-07-08,S3FT89,YourRentals
29-01 sur,2023-11-23,2023-11-30,XFMZHM,YourRentals
29-01 sur,2023-02-27,2023-02-28,ORGIHL,YourRentals
29-01 sur,2023-12-04,2023-12-08,NWLZUR,YourRentals
29-01 sur,2023-12-12,2023-12-14,KCFD4T,YourRentals
29-01 sur,2023-02-06,2023-02-13,MJWZXY,YourRentals
29-01 sur,2023-01-28,2023-01-29,BD3RWF,YourRentals
29-01 sur,2023-02-22,2023-02-27,CHICYE,YourRentals
29-01 sur,2023-01-30,2023-02-01,ZXI99W,YourRentals
29-01 sur,2023-02-17,2023-02-19,SDLIIU,YourRentals
29-01 sur,2023-07-22,2023-07-24,VFPIQH,YourRentals
29-01 sur,2023-12-14,2023-12-15,0YZXIF,YourRentals
29-01 sur,2023-02-04,2023-02-05,EPXRCB,YourRentals
29-01 sur,2023-12-15,2023-12-16,UNYEPG,YourRentals
29-01 sur,2025-02-13,2025-02-16,LP8KKT,YourRentals
22-12 sur,2023-12-11,2023-12-26,H97JTE,YourRentals
22-12 sur,2023-12-09,2023-12-11,71VGP1,YourRentals
22-12 sur,2023-12-04,2023-12-07,88XUXC,YourRentals
22-12 sur,2023-12-26,2023-12-29,NEJJF7,YourRentals
22-12 sur,2023-12-07,2023-12-08,XYLYW9,YourRentals
22-12 sur,2023-11-23,2023-12-01,ZZJ7U1,YourRentals
22-12 sur,2024-04-03,2024-04-10,SYFFDE,YourRentals
22-12 sur,2024-03-28,2024-03-30,44VSQR,YourRentals
22-12 sur,2023-03-03,2023-03-08,BHQH8S,YourRentals
22-12 sur,2024-01-04,2024-01-06,O7XHEX,YourRentals
22-12 sur,2023-05-18,2023-05-21,44ZRPB,YourRentals
Junior 18,2023-06-03,2023-06-06,38STAW,YourRentals
Junior 18,2023-04-14,2023-04-16,FGFYWQ,YourRentals
Junior 18,2024-01-06,2024-01-08,FAHZKP,YourRentals
Junior 18,2023-05-20,2023-05-22,ECFX9E,YourRentals
29-01 sur,2023-08-10,2023-08-13,E2BNIS,YourRentals
29-01 sur,2023-12-05,2023-12-08,GQH9ZQ,YourRentals
29-01 sur,2023-12-11,2023-12-15,NVUW4F,YourRentals
29-01 sur,2024-05-31,2024-06-05,A1V7ZJ,YourRentals
29-01 sur,2023-11-23,2023-12-02,82DWIU,YourRentals
29-01 sur,2025-05-20,2025-05-22,79a73c91ab381c5d948df8fc81365d70,YourRentals
Junior 18,2025-05-20,2025-05-24,CLOSED - Not available,Booking
27-12 sur,2025-05-21,2025-05-24,Reserved,Airbnb
18-12 Norte,2025-05-24,2025-05-25,Airbnb (Not available),Airbnb
29-01 sur,2025-05-24,2025-05-25,Airbnb (Not available),Airbnb
27-12 sur,2025-05-24,2025-05-26,Reserved,Airbnb
22-12 sur,2025-05-23,2025-05-27,Reserved,Airbnb
Junior 18,2025-05-24,2025-05-27,CLOSED - Not available,Booking
18-12 Norte,2025-05-25,2025-05-28,Reserved,Airbnb
910 sur,2025-05-25,2025-05-28,Reserved,Airbnb
11-09 sur,2025-05-27,2025-05-28,Airbnb (Not available),Airbnb
29-01 sur,2025-05-28,2025-05-30,Reserved,Airbnb
Junior 18,2025-05-28,2025-05-30,Reserved,Airbnb
29-03 norte,2025-05-25,2025-05-29,Reserved,Airbnb
29-03 norte,2025-05-25,2025-05-29,8f308e9dcd88a157fb1ebca385a2e242,YourRentals
26-05 sur,2025-05-26,2025-05-30,Reserved,Airbnb
17-06 sur,2025-05-28,2025-05-30,Airbnb (Not available),Airbnb
910 sur,2025-05-28,2025-05-30,Airbnb (Not available),Airbnb
18-12 Norte,2025-05-29,2025-05-31,Reserved,Airbnb
18-12 Norte,2025-06-02,2025-06-05,Reserved,Airbnb
18-12 Norte,2025-07-18,2025-07-21,Airbnb (Not available),Airbnb
18-12 Norte,2025-08-29,2026-06-02,Airbnb (Not available),Airbnb
18-12 Norte,2025-05-31,2025-06-02,CLOSED - Not available,Booking
18-12 Norte,2025-06-06,2025-06-09,CLOSED - Not available,Booking
18-12 Norte,2025-06-13,2025-06-16,CLOSED - Not available,Booking
18-12 Norte,2025-06-18,2025-06-21,CLOSED - Not available,Booking
18-12 Norte,2025-09-03,2025-09-07,CLOSED - Not available,Booking
18-12 Norte,2025-09-13,2025-09-16,CLOSED - Not available,Booking
18-12 Norte,2025-10-11,2025-10-14,CLOSED - Not available,Booking
18-12 Norte,2025-11-14,2025-11-16,CLOSED - Not available,Booking
18-12 Norte,2026-06-02,2026-12-01,CLOSED - Not available,Booking
29-01 sur,2025-05-30,2025-06-01,Reserved,Airbnb
29-01 sur,2025-06-02,2025-06-06,Reserved,Airbnb
29-01 sur,2025-06-06,2025-06-09,Reserved,Airbnb
29-01 sur,2025-06-23,2025-06-26,Airbnb (Not available),Airbnb
29-01 sur,2025-07-18,2025-07-21,Airbnb (Not available),Airbnb
29-01 sur,2025-07-30,2025-08-02,Airbnb (Not available),Airbnb
29-01 sur,2025-08-29,2025-12-05,Airbnb (Not available),Airbnb
29-01 sur,2025-12-05,2025-12-08,Airbnb (Not available),Airbnb
29-01 sur,2025-12-08,2026-06-02,Airbnb (Not available),Airbnb
29-01 sur,2025-06-13,2025-06-16,CLOSED - Not available,Booking
29-01 sur,2025-09-13,2025-09-16,CLOSED - Not available,Booking
29-01 sur,2025-12-05,2025-12-08,CLOSED - Not available,Booking
29-01 sur,2026-06-02,2026-12-01,CLOSED - Not available,Booking
22-12 sur,2025-05-29,2025-06-01,Reserved,Airbnb
22-12 sur,2025-06-04,2025-06-06,Reserved,Airbnb
22-12 sur,2025-06-09,2025-06-12,Reserved,Airbnb
22-12 sur,2025-06-12,2025-06-15,Reserved,Airbnb
22-12 sur,2025-07-17,2025-07-20,Reserved,Airbnb
22-12 sur,2025-06-23,2025-06-26,Airbnb (Not available),Airbnb
22-12 sur,2025-06-30,2025-07-04,Airbnb (Not available),Airbnb
22-12 sur,2025-08-29,2025-11-20,Airbnb (Not available),Airbnb
22-12 sur,2025-11-23,2026-06-02,Airbnb (Not available),Airbnb
22-12 sur,2025-06-19,2025-06-23,CLOSED - Not available,Booking
22-12 sur,2025-07-23,2025-07-27,CLOSED - Not available,Booking
22-12 sur,2025-07-27,2025-08-01,CLOSED - Not available,Booking
22-12 sur,2026-06-02,2026-12-01,CLOSED - Not available,Booking
22-12 sur,2025-06-06,2025-06-09,NTT6XA,YourRentals
Junior 18,2025-05-31,2025-06-02,Reserved,Airbnb
Junior 18,2025-06-15,2025-06-18,Reserved,Airbnb
Junior 18,2025-08-29,2026-06-02,Airbnb (Not available),Airbnb
Junior 18,2025-06-04,2025-06-07,CLOSED - Not available,Booking
Junior 18,2025-06-09,2025-06-11,CLOSED - Not available,Booking
Junior 18,2025-06-27,2025-06-29,CLOSED - Not available,Booking
Junior 18,2025-07-19,2025-07-21,CLOSED - Not available,Booking
Junior 18,2026-06-02,2026-12-01,CLOSED - Not available,Booking
29-03 norte,2025-06-05,2025-06-08,Reserved,Airbnb
29-03 norte,2025-07-18,2025-07-21,Airbnb (Not available),Airbnb
29-03 norte,2025-08-29,2026-06-02,Airbnb (Not available),Airbnb
29-03 norte,2025-05-30,2025-06-02,CLOSED - Not available,Booking
29-03 norte,2025-06-03,2025-06-05,CLOSED - Not available,Booking
29-03 norte,2025-06-13,2025-06-16,CLOSED - Not available,Booking
29-03 norte,2025-06-16,2025-06-19,CLOSED - Not available,Booking
29-03 norte,2025-06-19,2025-06-23,CLOSED - Not available,Booking
29-03 norte,2025-06-23,2025-06-28,CLOSED - Not available,Booking
29-03 norte,2025-07-25,2025-07-27,CLOSED - Not available,Booking
29-03 norte,2025-07-28,2025-07-30,CLOSED - Not available,Booking
29-03 norte,2025-09-13,2025-09-16,CLOSED - Not available,Booking
29-03 norte,2025-11-14,2025-11-17,CLOSED - Not available,Booking
29-03 norte,2025-12-05,2025-12-08,CLOSED - Not available,Booking
29-03 norte,2026-06-02,2026-12-01,CLOSED - Not available,Booking
29-03 norte,2026-06-02,2026-12-01,cdd0df1903ec75278d049374dc8c578b,YourRentals
29-03 norte,2025-08-29,2026-06-02,9b48291b88f615f7e53d4047068a41ff,YourRentals
29-03 norte,2025-06-05,2025-06-08,eda5d1f3a024b03da170a2de4c28cd24,YourRentals
29-03 norte,2025-07-18,2025-07-21,a5202db826a6ebf676026e373d8f265f,YourRentals
29-03 norte,2025-07-28,2025-07-30,6be94fbe0b7ecb17e8340b8114d7ff3b,YourRentals
29-03 norte,2025-06-23,2025-06-28,43e83a1a4df12ce6b0139c353c0f3cac,YourRentals
29-03 norte,2025-05-30,2025-06-02,d2df708304126f34999aecea9421dd32,YourRentals
29-03 norte,2025-06-03,2025-06-05,8f70ab125a440524c753816cf215e162,YourRentals
29-03 norte,2025-06-13,2025-06-16,fb0a7ccd55912060bf9d41c245ad1e3b,YourRentals
29-03 norte,2025-06-19,2025-06-23,dd90d198b5c7fb31cb3dcc6727715d34,YourRentals
29-03 norte,2025-07-25,2025-07-27,1f965c559798f1314877e01a5d2c2144,YourRentals
29-03 norte,2025-09-13,2025-09-16,fcc8bfd7e7329fffe171fd8e9320987a,YourRentals
29-03 norte,2025-11-14,2025-11-17,1282f3d9cee0fffefb1499ad7c798fd7,YourRentals
29-03 norte,2025-12-05,2025-12-08,8da24baf0283a5fd86ec0f7a801d62bb,YourRentals
29-03 norte,2025-06-16,2025-06-19,j1lFBc8eJB,YourRentals
27-12 sur,2025-05-30,2025-06-01,Reserved,Airbnb
27-12 sur,2025-06-01,2025-06-06,Airbnb (Not available),Airbnb
27-12 sur,2025-06-09,2025-06-13,Airbnb (Not available),Airbnb
27-12 sur,2025-06-23,2025-06-26,Airbnb (Not available),Airbnb
27-12 sur,2025-07-18,2025-07-21,Airbnb (Not available),Airbnb
27-12 sur,2025-08-29,2026-06-02,Airbnb (Not available),Airbnb
26-05 sur,2025-05-30,2025-06-01,Reserved,Airbnb
26-05 sur,2025-06-02,2025-06-04,Reserved,Airbnb
26-05 sur,2025-07-08,2025-07-10,Reserved,Airbnb
26-05 sur,2025-08-16,2025-08-18,Reserved,Airbnb
26-05 sur,2025-09-09,2025-09-12,Reserved,Airbnb
26-05 sur,2025-10-26,2025-10-30,Reserved,Airbnb
26-05 sur,2025-11-16,2026-01-11,Airbnb (Not available),Airbnb
26-05 sur,2026-05-31,2026-06-02,Airbnb (Not available),Airbnb
26-05 sur,2025-07-23,2025-07-27,CLOSED - Not available,Booking
26-05 sur,2025-10-13,2025-10-18,CLOSED - Not available,Booking
26-05 sur,2026-01-11,2026-05-31,CLOSED - Not available,Booking
26-05 sur,2026-06-02,2026-12-01,CLOSED - Not available,Booking
17-06 sur,2025-06-03,2025-06-06,Reserved,Airbnb
17-06 sur,2025-06-06,2025-06-08,Airbnb (Not available),Airbnb
17-06 sur,2025-08-29,2026-06-02,Airbnb (Not available),Airbnb
17-07 sur,2025-06-01,2025-06-03,Airbnb (Not available),Airbnb
17-07 sur,2025-06-04,2025-06-06,Airbnb (Not available),Airbnb
17-07 sur,2025-08-29,2026-06-02,Airbnb (Not available),Airbnb
910 sur,2025-05-30,2025-06-02,Reserved,Airbnb
910 sur,2025-06-03,2025-06-06,Reserved,Airbnb
910 sur,2025-06-07,2025-06-09,Reserved,Airbnb
910 sur,2025-06-19,2025-06-22,Reserved,Airbnb
910 sur,2025-06-28,2025-07-01,Reserved,Airbnb
910 sur,2025-07-11,2025-07-15,Reserved,Airbnb
910 sur,2025-07-24,2025-07-27,Reserved,Airbnb
910 sur,2025-07-27,2025-08-01,Reserved,Airbnb
910 sur,2025-08-04,2025-08-08,Reserved,Airbnb
910 sur,2025-08-13,2025-08-16,Reserved,Airbnb
910 sur,2025-06-23,2025-06-26,Airbnb (Not available),Airbnb
910 sur,2025-07-18,2025-07-21,Airbnb (Not available),Airbnb
910 sur,2025-08-29,2026-06-02,Airbnb (Not available),Airbnb
11-09 sur,2025-05-29,2025-06-02,Reserved,Airbnb
11-09 sur,2025-06-02,2025-06-06,Reserved,Airbnb
11-09 sur,2025-06-06,2025-06-09,Reserved,Airbnb
11-09 sur,2025-06-11,2025-06-13,Reserved,Airbnb
11-09 sur,2025-07-22,2025-07-25,Reserved,Airbnb
11-09 sur,2025-06-30,2025-07-04,Airbnb (Not available),Airbnb
11-09 sur,2025-07-18,2025-07-21,Airbnb (Not available),Airbnb
11-09 sur,2025-11-27,2026-06-02,Airbnb (Not available),Airbnb
